iter		mean		min		max		var
     0	0.83239	0.05860	0.95250	0.02016
     1	0.45603	0.17303	0.95250	0.06318
     2	0.70961	0.17601	0.95250	0.03925
     3	0.64543	0.17613	0.95250	0.06678
     4	0.64416	0.19351	0.95250	0.05786
     5	0.69476	0.20260	0.95250	0.03947
     6	0.71028	0.20913	0.95250	0.05062
     7	0.64259	0.19016	0.95250	0.08065
     8	0.62680	0.17719	0.95250	0.07157
     9	0.67471	0.18295	0.95250	0.03636
    10	0.73402	0.18353	0.95250	0.04712
    11	0.59723	0.17469	0.95250	0.08636
    12	0.63645	0.17769	0.95250	0.04369
    13	0.76356	0.21987	0.95250	0.02728
    14	0.62189	0.17533	0.95250	0.05925
    15	0.72516	0.18001	0.95250	0.03753
    16	0.66795	0.19242	0.95250	0.04218
    17	0.73892	0.17982	0.95250	0.04544
    18	0.61449	0.17911	0.95250	0.06453
    19	0.72030	0.17759	0.95250	0.05460
    20	0.61645	0.17687	0.95250	0.05453
    21	0.75053	0.19232	0.95250	0.04935
    22	0.57415	0.17566	0.95250	0.07310
    23	0.70959	0.17960	0.95250	0.05466
    24	0.62980	0.17771	0.95250	0.05211
    25	0.74215	0.17803	0.95250	0.04881
    26	0.58921	0.17474	0.95250	0.07073
    27	0.71012	0.17730	0.95250	0.05574
    28	0.62627	0.17712	0.95250	0.05625
    29	0.73324	0.18344	0.95250	0.04383
    30	0.62466	0.17859	0.95250	0.06190
    31	0.71296	0.18111	0.95250	0.06072
    32	0.60179	0.17924	0.95250	0.06128
    33	0.73733	0.17702	0.95250	0.04644
    34	0.60418	0.17594	0.95250	0.06508
    35	0.71519	0.17443	0.95250	0.06091
    36	0.59456	0.17855	0.95250	0.06018
    37	0.74381	0.18291	0.95250	0.04289
    38	0.60400	0.17568	0.95250	0.06157
    39	0.72720	0.17875	0.95250	0.05210
    40	0.60381	0.17592	0.95250	0.05906
    41	0.73923	0.18424	0.95250	0.05137
    42	0.58160	0.17663	0.95250	0.06615
    43	0.72635	0.17607	0.95250	0.05598
    44	0.58879	0.17354	0.95250	0.05870
    45	0.75029	0.17889	0.95250	0.04268
